"EFF_DATE","REGULATORY","AWY_LOCATION","AWY_ID","POINT_SEQ","SEG_VALUE","SEG_TYPE","NAV_NAME","NAV_CITY","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NEXT_SEG","MAG_COURSE","OPP_MAG_COURSE","MAG_COURSE_DIST","CHGOVR_PT","CHGOVR_PT_NAME","CHGOVR_PT_DIST","AWY_SEG_GAP_FLAG","SIGNAL_GAP_FLAG","DOGLEG","REMARK"
"2023/11/30","Y","A","A3",20,"JEVUM","RP   ","","","PA","AK","US","TEGDE",357.62,183.55,15.01,"","",,"N","N","N",""
"2023/11/30","Y","A","A3",30,"TEGDE","RP   ","","","PA","AK","US","PVQ",357.62,183.55,181.26,"","",,"N","N","N",""
"2023/11/30","Y","A","A3",40,"PVQ","NDB","PUT RIVER","DEADHORSE","","AK","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A315",10,"ZBV","VORTAC","BIMINI","BIMINI","","","BS","SWIMM",135.3,315.41,18.51,"","",,"N","N","N",""
"2023/11/30","N","C","A315",20,"SWIMM","RP   ","","","K7","","BS","TINKY",135.41,315.69,46.87,"","",,"N","N","N",""
"2023/11/30","N","C","A315",30,"TINKY","RP   ","","","K","OA","BS","PEKRE",135.69,315.81,21.77,"","",,"N","N","N",""
"2023/11/30","N","C","A315",40,"PEKRE","RP   ","","","MY","","BS","JAYEE",135.82,315.97,27.38,"","",,"N","N","N",""
"2023/11/30","N","C","A315",50,"JAYEE","RP   ","","","MY","","BS","HODGY",135.97,316.11,24.26,"","",,"N","N","N",""
"2023/11/30","N","C","A315",60,"HODGY","RP   ","","","MY","","BS","AMBIS",136.1,316.31,38.18,"","",,"N","N","N",""
"2023/11/30","N","C","A315",70,"AMBIS","RP   ","","","MY","","BS","DUNNO",141.07,321.86,71.09,"","",,"N","N","N",""
"2023/11/30","N","C","A315",80,"DUNNO","WP   ","","","K7","","BS","ACMEE",141.86,322.59,66.29,"","",,"N","N","N",""
"2023/11/30","N","C","A315",90,"ACMEE","RP   ","","","K","OA","US","KNSLY",142.55,323.64,105.86,"","",,"N","N","N",""
"2023/11/30","N","C","A315",100,"KNSLY","WP   ","","","K","OA","US","JOSES",162.17,342.48,55.27,"","",,"N","N","N",""
"2023/11/30","N","C","A315",110,"JOSES","WP   ","","","K","OA","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A331",10,"ZIGIE","RP   ","","","P","OP","US","ZOULU",31.87,212.07,70.8,"","",,"N","N","N",""
"2023/11/30","N","C","A331",20,"ZOULU","WP   ","","","P","OP","US","ZEMOM",32.1,213.39,412.2,"","",,"N","N","N",""
"2023/11/30","N","C","A331",30,"ZEMOM","WP   ","","","P","OP","US","ZINNO",33.44,215.09,413.07,"","",,"N","N","N",""
"2023/11/30","N","C","A331",40,"ZINNO","WP   ","","","P","OP","US","ZAGER",35.08,217.8,445.1,"","",,"N","N","N",""
"2023/11/30","N","C","A331",50,"ZAGER","WP   ","","","P","OP","US","ZANNG",37.81,222.19,446.39,"","",,"N","N","N",""
"2023/11/30","N","C","A331",60,"ZANNG","WP   ","","","P","OP","US","SEDAR",42.2,224.38,163.1,"","",,"N","N","N",""
"2023/11/30","N","C","A331",70,"SEDAR","WP   ","","","P","OP","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A332",10,"AUNTI","WP   ","","","P","OP","US","HALLI",34.58,216.08,458.77,"","",,"N","N","N",""
"2023/11/30","N","C","A332",20,"HALLI","WP   ","","","P","OP","US","HELOP",36.02,218.03,452.34,"","",,"N","N","N",""
"2023/11/30","N","C","A332",30,"HELOP","WP   ","","","P","OP","US","HEKAB",38.04,221.14,440.99,"","",,"N","N","N",""
"2023/11/30","N","C","A332",40,"HEKAB","WP   ","","","P","OP","US","HEMLO",41.08,225.97,441.07,"","",,"N","N","N",""
"2023/11/30","N","C","A332",50,"HEMLO","WP   ","","","P","OP","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A337",10,"JUNIE","RP   ","","","PG","GU","US","AXIDE",351.96,172.22,58.5,"","",,"N","N","N",""
"2023/11/30","N","C","A337",20,"AXIDE","WP   ","","","P","OP","US","FONUG",352.19,172.68,99.84,"","",,"N","N","N",""
"2023/11/30","N","C","A337",30,"FONUG","WP   ","","","P","OP","US","SNAPP",352.68,173.16,100.57,"","",,"N","N","N",""
"2023/11/30","N","C","A337",40,"SNAPP","RP   ","","","PG","GU","US","TEEDE",356.66,177.14,93.93,"","",,"N","N","N",""
"2023/11/30","N","C","A337",50,"TEEDE","WP   ","","","P","OP","US","TEGOD",341.11,162.17,226.58,"","",,"N","N","N",""
"2023/11/30","N","C","A337",60,"TEGOD","WP   ","","","P","OP","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A339",10,"SHREE","WP   ","","","P","OP","US","WRNNR",13.72,194.95,338.33,"","",,"N","N","N",""
"2023/11/30","N","C","A339",20,"WRNNR","WP   ","","","P","OP","US","TILLY",14.91,196.6,370.6,"","",,"N","N","N",""
"2023/11/30","N","C","A339",30,"TILLY","WP   ","","","P","OP","US","KEITH",16.6,197.88,234.33,"","",,"N","N","N",""
"2023/11/30","N","C","A339",40,"KEITH","WP   ","","","P","OP","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","A","A342",10,"NUZAN","WP   ","","","P","OP","US","OPAKE",73.68,256.24,250.8,"","",,"N","N","N",""
"2023/11/30","N","A","A342",20,"OPAKE","WP   ","","","P","OP","US","PINSO",74.56,255.86,127.48,"","",,"N","N","N",""
"2023/11/30","N","A","A342",30,"PINSO","WP   ","","","P","OP","US","AMOND",75.07,256.83,173.89,"","",,"N","N","N",""
"2023/11/30","N","A","A342",40,"AMOND","RP   ","","","PA","AK","US","DRAPP",76.01,257.32,127.84,"","",,"N","N","N",""
"2023/11/30","N","A","A342",50,"DRAPP","RP   ","","","PA","AK","US","CRYPT",76.99,259.64,252.69,"","",,"N","N","N",""
"2023/11/30","N","A","A342",60,"CRYPT","RP   ","","","PA","AK","US","CDB",79.35,262.44,278.43,"","",,"N","N","N",""
"2023/11/30","N","A","A342",70,"CDB","VORTAC","COLD BAY","COLD BAY","","AK","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A450",10,"CAHYO","WP   ","","","P","OP","US","TNUGE",44.64,225.01,295.9,"","",,"N","N","N",""
"2023/11/30","N","C","A450",20,"TNUGE","WP   ","","","P","OP","US","PIGFA",46.19,226.89,359.51,"","",,"N","N","N",""
"2023/11/30","N","C","A450",30,"PIGFA","WP   ","","","P","OP","US","LOEBB",47.82,228.06,100.05,"","",,"N","N","N",""
"2023/11/30","N","C","A450",40,"LOEBB","WP   ","","","P","OP","US","BUCAT",58.41,238.47,40.43,"","",,"N","N","N",""
"2023/11/30","N","C","A450",50,"BUCAT","WP   ","","","P","OP","US","UNZ",58.6,238.8,100.14,"","",,"N","N","N",""
"2023/11/30","N","C","A450",60,"UNZ","VORTAC","NIMITZ","AGANA","","GU","US","BAGBE",68,248.13,35,"","",,"N","N","N",""
"2023/11/30","N","C","A450",70,"BAGBE","RP   ","","","PG","GU","US","HOPPY",68.13,248.38,65,"","",,"N","N","N",""
"2023/11/30","N","C","A450",80,"HOPPY","RP   ","","","PG","GU","US","FONUG",69.64,249.69,28.41,"","",,"N","N","N",""
"2023/11/30","N","C","A450",90,"FONUG","WP   ","","","P","OP","US","STINE",69.7,249.76,51.6,"","",,"N","N","N",""
"2023/11/30","N","C","A450",100,"STINE","RP   ","","","PG","GU","US","DEWSS",71.59,251.66,81.81,"","",,"N","N","N",""
"2023/11/30","N","C","A450",110,"DEWSS","WP   ","","","P","OP","US","JIMOS",73.17,253.58,523.28,"","",,"N","N","N",""
"2023/11/30","N","C","A450",120,"JIMOS","WP   ","","","P","OP","US","NGUEN",73.57,254.13,522.95,"","",,"N","N","N",""
"2023/11/30","N","C","A450",130,"NGUEN","WP   ","","","P","OP","US","NATIE",74.28,255,380.24,"","",,"N","N","N",""
"2023/11/30","N","C","A450",140,"NATIE","WP   ","","","P","OP","US","RESEE",75.33,256.53,379.76,"","",,"N","N","N",""
"2023/11/30","N","C","A450",150,"RESEE","WP   ","","","P","OP","US","SYSTA",76.86,258.94,451.08,"","",,"N","N","N",""
"2023/11/30","N","C","A450",160,"SYSTA","WP   ","","","P","OP","US","BRIUN",79.31,261.83,452.96,"","",,"N","N","N",""
"2023/11/30","N","C","A450",170,"BRIUN","WP   ","","","P","OP","US","HOOPA",82.55,262.91,60.68,"","",,"N","N","N",""
"2023/11/30","N","C","A450",180,"HOOPA","WP   ","","","P","OP","US","KATHS",82.18,262.63,81.22,"","",,"N","N","N",""
"2023/11/30","N","C","A450",190,"KATHS","RP   ","","","PH","HI","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A509",10,"URSUS","RP   ","","","K","OA","US","ELLEE",331.31,151.06,62.67,"","",,"N","N","N",""
"2023/11/30","N","C","A509",20,"ELLEE","RP   ","","","K7","","BS","EONNS",331.06,150.93,29.68,"","",,"N","N","N",""
"2023/11/30","N","C","A509",30,"EONNS","RP   ","","","K7","FL","US","JURER",330.94,150.83,25.32,"","",,"N","N","N",""
"2023/11/30","N","C","A509",40,"JURER","RP   ","","","K7","FL","US","DHP",330.83,150.78,10.63,"","",,"N","N","N",""
"2023/11/30","N","C","A509",50,"DHP","VORTAC","DOLPHIN","MIAMI","","FL","US","MARCI",278.33,97.7,77.87,"","",,"N","N","N",""
"2023/11/30","N","C","A509",60,"MARCI","RP   ","","","K7","FL","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A517",10,"ZPATA","RP   ","","","TJ","PR","US","PJM",348.22,168.13,37.5,"","",,"N","N","N",""
"2023/11/30","N","C","A517",20,"PJM","VOR/DME","SAINT MAARTEN","PHILIPSBURG","","","AN","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A554",10,"LAMER","WP   ","","","K","OA","US","RODRK",189.86,9.8,49.28,"","",,"N","N","N",""
"2023/11/30","N","C","A554",20,"RODRK","WP   ","","","K","OA","US","CERDA",188.08,8.05,85.82,"","",,"N","N","N",""
"2023/11/30","N","C","A554",30,"CERDA","WP   ","","","K","OA","US","EYSEL",233.71,53.36,32.42,"","",,"N","N","N",""
"2023/11/30","N","C","A554",40,"EYSEL","WP   ","","","K","OA","US","NETTA",234.88,54.4,42.1,"","",,"N","N","N",""
"2023/11/30","N","C","A554",50,"NETTA","RP   ","","","K","OA","US","GTK",230.07,49.95,29.42,"","",,"N","N","N",""
"2023/11/30","N","C","A554",60,"GTK","VORTAC","GRAND TURK","GRAND TURK ISLAND","","","TC","TAANA",174.14,354.2,31.08,"","",,"N","N","N",""
"2023/11/30","N","C","A554",70,"TAANA","RP   ","","","K","OA","US","SEKAR",173.23,353.3,33.04,"","",,"N","N","N",""
"2023/11/30","N","C","A554",80,"SEKAR","RP   ","","","MD","","DO","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A555",10,"ILURI","RP   ","","","K","OA","US","PORQE",321.45,141.16,77.76,"","",,"N","N","N",""
"2023/11/30","N","C","A555",20,"PORQE","RP   ","","","TI","VI","US","COY",321.19,140.99,52.23,"","",,"N","N","N",""
"2023/11/30","N","C","A555",30,"COY","VOR/DME","ST CROIX","ST CROIX","","VI","US","VEDAS",292.43,112.16,51.9,"","",,"N","N","N",""
"2023/11/30","N","C","A555",40,"VEDAS","RP   ","","","TJ","PR","US","TUUNA",292.16,112.07,17.53,"","",,"N","N","N",""
"2023/11/30","N","C","A555",50,"TUUNA","RP   ","","","TJ","PR","US","DDP",327.72,147.35,41.86,"","",,"N","N","N",""
"2023/11/30","N","C","A555",60,"DDP","NDB","DORADO","SAN JUAN","","PR","US","IDAHO",317.67,136.81,84.37,"","",,"N","N","N",""
"2023/11/30","N","C","A555",70,"IDAHO","RP   ","","","TJ","PR","US","HARDE",314.96,134.57,80.22,"","",,"N","N","N",""
"2023/11/30","N","C","A555",80,"HARDE","RP   ","","","TJ","PR","US","GRADI",314.94,134.66,55.33,"","",,"N","N","N",""
"2023/11/30","N","C","A555",90,"GRADI","RP   ","","","K","OA","US","KARRN",314.47,134.44,7.23,"","",,"N","N","N",""
"2023/11/30","N","C","A555",100,"KARRN","RP   ","","","K","OA","US","SEBUG",314.31,134.13,33.81,"","",,"N","N","N",""
"2023/11/30","N","C","A555",110,"SEBUG","RP   ","","","K","OA","US","COCBU",314.16,134.01,27.62,"","",,"N","N","N",""
"2023/11/30","N","C","A555",120,"COCBU","RP   ","","","K7","","IB","GTK",313.96,133.79,32.02,"","",,"N","N","N",""
"2023/11/30","N","C","A555",130,"GTK","VORTAC","GRAND TURK","GRAND TURK ISLAND","","","TC","MAYAG",310.68,130.49,32,"","",,"N","N","N",""
"2023/11/30","N","C","A555",140,"MAYAG","RP   ","","","K7","","IB","RATTL",310.49,130.31,32.27,"","",,"N","N","N",""
"2023/11/30","N","C","A555",150,"RATTL","RP   ","","","K","OA","US","EGANN",310.31,130.27,6.29,"","",,"N","N","N",""
"2023/11/30","N","C","A555",160,"EGANN","RP   ","","","K7","","IB","MICAS",310.27,130.19,13.49,"","",,"N","N","N",""
"2023/11/30","N","C","A555",170,"MICAS","RP   ","","","K7","","TC","BTLER",308.41,128.32,14.01,"","",,"N","N","N",""
"2023/11/30","N","C","A555",180,"BTLER","RP   ","","","K","OA","US","GUANA",310.75,130.63,20.27,"","",,"N","N","N",""
"2023/11/30","N","C","A555",190,"GUANA","RP   ","","","K","OA","US","INDEE",310.3,129.11,89.35,"","",,"N","N","N",""
"2023/11/30","N","C","A555",200,"INDEE","WP   ","","","K","OA","US","DUKKY",308.82,128.08,55,"","",,"N","N","N",""
"2023/11/30","N","C","A555",210,"DUKKY","WP   ","","","K7","","BS","GEROT",315.91,135.31,47,"","",,"N","N","N",""
"2023/11/30","N","C","A555",220,"GEROT","RP   ","","","K","OA","US","DONEZ",312.01,131.88,22.29,"","",,"N","N","N",""
"2023/11/30","N","C","A555",230,"DONEZ","RP   ","","","K","OA","US","BOSAR",311.88,131.64,38.29,"","",,"N","N","N",""
"2023/11/30","N","C","A555",240,"BOSAR","RP   ","","","MY","","BS","LEPAS",311.64,131.58,10.62,"","",,"N","N","N",""
"2023/11/30","N","C","A555",250,"LEPAS","RP   ","","","MY","","BS","ZQA",311.57,131.39,29.38,"","",,"N","N","N",""
"2023/11/30","N","C","A555",260,"ZQA","VOR/DME","NASSAU","NASSAU","","","BS","HINZY",298.4,118.3,14,"","",,"N","N","N",""
"2023/11/30","N","C","A555",270,"HINZY","RP   ","","","MY","","BS","PRUNE",298.3,118.18,16,"","",,"N","N","N",""
"2023/11/30","N","C","A555",280,"PRUNE","RP   ","","","MY","","BS","RAJAY",296.18,116.08,13.5,"","",,"N","N","N",""
"2023/11/30","N","C","A555",290,"RAJAY","RP   ","","","MY","","BS","ZBV",296.09,115.61,64.84,"","",,"N","N","N",""
"2023/11/30","N","C","A555",300,"ZBV","VORTAC","BIMINI","BIMINI","","","BS","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A578",10,"PNI","NDB/DME","POHNPEI","POHNPEI ISLAND","","","FM","AFOYU",124.59,304.47,29.99,"","",,"N","N","N",""
"2023/11/30","N","C","A578",20,"AFOYU","WP   ","","","K2","","FM","FENSE",124.5,303.39,289.81,"","",,"N","N","N",""
"2023/11/30","N","C","A578",30,"FENSE","WP   ","","","P","OP","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A579",10,"CARRP","RP   ","","","P","OP","US","CHEEM",203.51,23.38,72.48,"","",,"N","N","N",""
"2023/11/30","N","C","A579",20,"CHEEM","WP   ","","","P","OP","US","CROBY",203.21,22.11,546.52,"","",,"N","N","N",""
"2023/11/30","N","C","A579",30,"CROBY","WP   ","","","P","OP","US","CEBUR",203.09,22.06,536.59,"","",,"N","N","N",""
"2023/11/30","N","C","A579",40,"CEBUR","WP   ","","","P","OP","US","CUFFY",202.22,21.43,536.47,"","",,"N","N","N",""
"2023/11/30","N","C","A579",50,"CUFFY","WP   ","","","P","OP","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","A","A590",10,"PASRO","WP   ","","","P","OP","US","POWAL",60.54,242.51,208.48,"","",,"N","N","N",""
"2023/11/30","N","A","A590",20,"POWAL","WP   ","","","P","OP","US","PLADO",62.88,245.21,242.16,"","",,"N","N","N",""
"2023/11/30","N","A","A590",30,"PLADO","WP   ","","","P","OP","US","PINSO",51,232.23,132.93,"","",,"N","N","N",""
"2023/11/30","N","A","A590",40,"PINSO","WP   ","","","P","OP","US","POOFF",58.1,240.17,210.91,"","",,"N","N","N",""
"2023/11/30","N","A","A590",50,"POOFF","WP   ","","","P","OP","US","PINTT",60.02,242.13,202.45,"","",,"N","N","N",""
"2023/11/30","N","A","A590",60,"PINTT","WP   ","","","P","OP","US","PTZGR",62.21,243.06,78.22,"","",,"N","N","N",""
"2023/11/30","N","A","A590",70,"PTZGR","WP   ","","","P","OP","US","PUGGY",62.42,243.56,101.3,"","",,"N","N","N",""
"2023/11/30","N","A","A590",80,"PUGGY","WP   ","","","P","OP","US","POETT",61.8,243.28,127.54,"","",,"N","N","N",""
"2023/11/30","N","A","A590",90,"POETT","WP   ","","","P","OP","US","SELDM",62.94,243.36,34.36,"","",,"N","N","N",""
"2023/11/30","N","A","A590",100,"SELDM","WP   ","","","P","OP","US","PORGE",63.22,244.69,117.12,"","",,"N","N","N",""
"2023/11/30","N","A","A590",110,"PORGE","WP   ","","","PA","AK","US","HAMND",61.64,245,238.72,"","",,"N","N","N",""
"2023/11/30","N","A","A590",120,"HAMND","WP   ","","","PA","AK","US","",,,,"","",,"N","N","N",""
